e_propulsion_system_design,e_propulsion_system_design2,e_fuel_type,vp_source_plant_region,region,vp_source_plant_country,period_year,sum_volume
Electric,EV,Electricity,Europe,Eastern Europe,BG,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2020,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2021,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2022,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2023,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2024,1160
Electric,EV,Electricity,Europe,Eastern Europe,BG,2025,3116
Electric,EV,Electricity,Europe,Eastern Europe,BG,2026,3294
Electric,EV,Electricity,Europe,Eastern Europe,BG,2027,3602
Electric,EV,Electricity,Europe,Eastern Europe,BG,2028,4251
Electric,EV,Electricity,Europe,Eastern Europe,BG,2029,5424
Electric,EV,Electricity,Europe,Eastern Europe,BG,2030,5859
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2020,28722
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2021,72454
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2022,87644
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2023,120541
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2024,152781
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2025,204339
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2026,276496
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2027,342439
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2028,358034
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2029,430007
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2030,568327
Electric,EV,Electricity,Europe,Eastern Europe,HU,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,HU,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,HU,2020,0
Electric,EV,Electricity,Europe,Eastern Europe,HU,2021,2628
Electric,EV,Electricity,Europe,Eastern Europe,HU,2022,26958
Electric,EV,Electricity,Europe,Eastern Europe,HU,2023,38634
Electric,EV,Electricity,Europe,Eastern Europe,HU,2024,42367
Electric,EV,Electricity,Europe,Eastern Europe,HU,2025,70644
Electric,EV,Electricity,Europe,Eastern Europe,HU,2026,165258
Electric,EV,Electricity,Europe,Eastern Europe,HU,2027,187473
Electric,EV,Electricity,Europe,Eastern Europe,HU,2028,209912
Electric,EV,Electricity,Europe,Eastern Europe,HU,2029,226440
Electric,EV,Electricity,Europe,Eastern Europe,HU,2030,329255
Electric,EV,Electricity,Europe,Eastern Europe,PL,2018,235
Electric,EV,Electricity,Europe,Eastern Europe,PL,2019,648
Electric,EV,Electricity,Europe,Eastern Europe,PL,2020,1770
Electric,EV,Electricity,Europe,Eastern Europe,PL,2021,2254
Electric,EV,Electricity,Europe,Eastern Europe,PL,2022,4830
Electric,EV,Electricity,Europe,Eastern Europe,PL,2023,45856
Electric,EV,Electricity,Europe,Eastern Europe,PL,2024,77910
Electric,EV,Electricity,Europe,Eastern Europe,PL,2025,105696
Electric,EV,Electricity,Europe,Eastern Europe,PL,2026,157708
Electric,EV,Electricity,Europe,Eastern Europe,PL,2027,201233
Electric,EV,Electricity,Europe,Eastern Europe,PL,2028,249792
Electric,EV,Electricity,Europe,Eastern Europe,PL,2029,268881
Electric,EV,Electricity,Europe,Eastern Europe,PL,2030,314888
Electric,EV,Electricity,Europe,Eastern Europe,RO,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2020,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2021,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2022,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2023,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2024,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2025,14217
Electric,EV,Electricity,Europe,Eastern Europe,RO,2026,30023
Electric,EV,Electricity,Europe,Eastern Europe,RO,2027,49005
Electric,EV,Electricity,Europe,Eastern Europe,RO,2028,86090
Electric,EV,Electricity,Europe,Eastern Europe,RO,2029,89261
Electric,EV,Electricity,Europe,Eastern Europe,RO,2030,81904
Electric,EV,Electricity,Europe,Eastern Europe,RS,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2020,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2021,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2022,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2023,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2024,4665
Electric,EV,Electricity,Europe,Eastern Europe,RS,2025,88781
Electric,EV,Electricity,Europe,Eastern Europe,RS,2026,108521
Electric,EV,Electricity,Europe,Eastern Europe,RS,2027,123426
Electric,EV,Electricity,Europe,Eastern Europe,RS,2028,127308
Electric,EV,Electricity,Europe,Eastern Europe,RS,2029,124477
Electric,EV,Electricity,Europe,Eastern Europe,RS,2030,122549
Electric,EV,Electricity,Europe,Eastern Europe,SI,2018,5701
Electric,EV,Electricity,Europe,Eastern Europe,SI,2019,5953
