e_propulsion_system_design,e_propulsion_system_design2,e_fuel_type,vp_source_plant_region,region,vp_source_plant_country,period_year,sum_volume
Electric,EV,Electricity,Europe,Eastern Europe,BG,2017,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2020,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2021,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2022,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2023,0
Electric,EV,Electricity,Europe,Eastern Europe,BG,2024,1160
Electric,EV,Electricity,Europe,Eastern Europe,BG,2025,3682
Electric,EV,Electricity,Europe,Eastern Europe,BG,2026,4115
Electric,EV,Electricity,Europe,Eastern Europe,BG,2027,4210
Electric,EV,Electricity,Europe,Eastern Europe,BG,2028,4250
Electric,EV,Electricity,Europe,Eastern Europe,BG,2029,4614
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2017,0
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2020,28722
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2021,72454
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2022,86032
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2023,119224
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2024,167495
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2025,245252
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2026,326536
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2027,366529
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2028,401235
Electric,EV,Electricity,Europe,Eastern Europe,CZ,2029,502631
Electric,EV,Electricity,Europe,Eastern Europe,HU,2017,0
Electric,EV,Electricity,Europe,Eastern Europe,HU,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,HU,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,HU,2020,0
Electric,EV,Electricity,Europe,Eastern Europe,HU,2021,2628
Electric,EV,Electricity,Europe,Eastern Europe,HU,2022,26635
Electric,EV,Electricity,Europe,Eastern Europe,HU,2023,38634
Electric,EV,Electricity,Europe,Eastern Europe,HU,2024,42367
Electric,EV,Electricity,Europe,Eastern Europe,HU,2025,78438
Electric,EV,Electricity,Europe,Eastern Europe,HU,2026,160483
Electric,EV,Electricity,Europe,Eastern Europe,HU,2027,171775
Electric,EV,Electricity,Europe,Eastern Europe,HU,2028,204347
Electric,EV,Electricity,Europe,Eastern Europe,HU,2029,242622
Electric,EV,Electricity,Europe,Eastern Europe,PL,2017,0
Electric,EV,Electricity,Europe,Eastern Europe,PL,2018,235
Electric,EV,Electricity,Europe,Eastern Europe,PL,2019,648
Electric,EV,Electricity,Europe,Eastern Europe,PL,2020,1770
Electric,EV,Electricity,Europe,Eastern Europe,PL,2021,2254
Electric,EV,Electricity,Europe,Eastern Europe,PL,2022,4830
Electric,EV,Electricity,Europe,Eastern Europe,PL,2023,46192
Electric,EV,Electricity,Europe,Eastern Europe,PL,2024,79213
Electric,EV,Electricity,Europe,Eastern Europe,PL,2025,106689
Electric,EV,Electricity,Europe,Eastern Europe,PL,2026,146815
Electric,EV,Electricity,Europe,Eastern Europe,PL,2027,182152
Electric,EV,Electricity,Europe,Eastern Europe,PL,2028,245501
Electric,EV,Electricity,Europe,Eastern Europe,PL,2029,263878
Electric,EV,Electricity,Europe,Eastern Europe,RO,2017,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2020,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2021,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2022,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2023,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2024,0
Electric,EV,Electricity,Europe,Eastern Europe,RO,2025,14429
Electric,EV,Electricity,Europe,Eastern Europe,RO,2026,30596
Electric,EV,Electricity,Europe,Eastern Europe,RO,2027,49669
Electric,EV,Electricity,Europe,Eastern Europe,RO,2028,88490
Electric,EV,Electricity,Europe,Eastern Europe,RO,2029,91487
Electric,EV,Electricity,Europe,Eastern Europe,RS,2017,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2018,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2019,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2020,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2021,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2022,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2023,0
Electric,EV,Electricity,Europe,Eastern Europe,RS,2024,4665
Electric,EV,Electricity,Europe,Eastern Europe,RS,2025,89227
Electric,EV,Electricity,Europe,Eastern Europe,RS,2026,108521
Electric,EV,Electricity,Europe,Eastern Europe,RS,2027,123426
Electric,EV,Electricity,Europe,Eastern Europe,RS,2028,127308
Electric,EV,Electricity,Europe,Eastern Europe,RS,2029,124477
Electric,EV,Electricity,Europe,Eastern Europe,SI,2017,2234
Electric,EV,Electricity,Europe,Eastern Europe,SI,2018,5701
Electric,EV,Electricity,Europe,Eastern Europe,SI,2019,5953
Electric,EV,Electricity,Europe,Eastern Europe,SI,2020,15394
Electric,EV,Electricity,Europe,Eastern Europe,SI,2021,36083
Electric,EV,Electricity,Europe,Eastern Europe,SI,2022,28608
Electric,EV,Electricity,Europe,Eastern Europe,SI,2023,16873
Electric,EV,Electricity,Europe,Eastern Europe,SI,2024,7381
Electric,EV,Electricity,Europe,Eastern Europe,SI,2025,0
Electric,EV,Electricity,Europe,Eastern Europe,SI,2026,0
Electric,EV,Electricity,Europe,Eastern Europe,SI,2027,0
Electric,EV,Electricity,Europe,Eastern Europe,SI,2028,0
Electric,EV,Electricity,Europe,Eastern Europe,SI,2029,0
Electric,EV,Electricity,Europe,Eastern Europe,SK,2017,3179
Electric,EV,Electricity,Europe,Eastern Europe,SK,2018,3101
Electric,EV,Electricity,Europe,Eastern Europe,SK,2019,12701
Electric,EV,Electricity,Europe,Eastern Europe,SK,2020,80087
Electric,EV,Electricity,Europe,Eastern Europe,SK,2021,109626
Electric,EV,Electricity,Europe,Eastern Europe,SK,2022,69930
Electric,EV,Electricity,Europe,Eastern Europe,SK,2023,76320
Electric,EV,Electricity,Europe,Eastern Europe,SK,2024,83515
Electric,EV,Electricity,Europe,Eastern Europe,SK,2025,197499
Electric,EV,Electricity,Europe,Eastern Europe,SK,2026,335841
Electric,EV,Electricity,Europe,Eastern Europe,SK,2027,519728
Electric,EV,Electricity,Europe,Eastern Europe,SK,2028,569336
Electric,EV,Electricity,Europe,Eastern Europe,SK,2029,636359
Electric,EV,Electricity,Europe,Russia,RU,2017,0
Electric,EV,Electricity,Europe,Russia,RU,2018,0
Electric,EV,Electricity,Europe,Russia,RU,2019,0
Electric,EV,Electricity,Europe,Russia,RU,2020,0
Electric,EV,Electricity,Europe,Russia,RU,2021,0
Electric,EV,Electricity,Europe,Russia,RU,2022,600
Electric,EV,Electricity,Europe,Russia,RU,2023,3984
Electric,EV,Electricity,Europe,Russia,RU,2024,4760
Electric,EV,Electricity,Europe,Russia,RU,2025,4891
Electric,EV,Electricity,Europe,Russia,RU,2026,4720
Electric,EV,Electricity,Europe,Russia,RU,2027,4895
Electric,EV,Electricity,Europe,Russia,RU,2028,4955
Electric,EV,Electricity,Europe,Russia,RU,2029,8383
Electric,EV,Electricity,Europe,Turkey,TR,2017,0
Electric,EV,Electricity,Europe,Turkey,TR,2018,567
Electric,EV,Electricity,Europe,Turkey,TR,2019,356
Electric,EV,Electricity,Europe,Turkey,TR,2020,228
Electric,EV,Electricity,Europe,Turkey,TR,2021,81
Electric,EV,Electricity,Europe,Turkey,TR,2022,10893
Electric,EV,Electricity,Europe,Turkey,TR,2023,52528
Electric,EV,Electricity,Europe,Turkey,TR,2024,84179
Electric,EV,Electricity,Europe,Turkey,TR,2025,151595
Electric,EV,Electricity,Europe,Turkey,TR,2026,218244
Electric,EV,Electricity,Europe,Turkey,TR,2027,312054
Electric,EV,Electricity,Europe,Turkey,TR,2028,375367
Electric,EV,Electricity,Europe,Turkey,TR,2029,434679
Electric,EV,Electricity,Europe,Western Europe,AT,2017,0
Electric,EV,Electricity,Europe,Western Europe,AT,2018,10419
Electric,EV,Electricity,Europe,Western Europe,AT,2019,20023
Electric,EV,Electricity,Europe,Western Europe,AT,2020,13776
Electric,EV,Electricity,Europe,Western Europe,AT,2021,8429
Electric,EV,Electricity,Europe,Western Europe,AT,2022,6723
Electric,EV,Electricity,Europe,Western Europe,AT,2023,34932
Electric,EV,Electricity,Europe,Western Europe,AT,2024,47744
Electric,EV,Electricity,Europe,Western Europe,AT,2025,54657
Electric,EV,Electricity,Europe,Western Europe,AT,2026,53244
Electric,EV,Electricity,Europe,Western Europe,AT,2027,51160
Electric,EV,Electricity,Europe,Western Europe,AT,2028,51748
Electric,EV,Electricity,Europe,Western Europe,AT,2029,51732
Electric,EV,Electricity,Europe,Western Europe,BE,2017,0
Electric,EV,Electricity,Europe,Western Europe,BE,2018,1971
Electric,EV,Electricity,Europe,Western Europe,BE,2019,40684
Electric,EV,Electricity,Europe,Western Europe,BE,2020,48427
Electric,EV,Electricity,Europe,Western Europe,BE,2021,61059
Electric,EV,Electricity,Europe,Western Europe,BE,2022,111457
Electric,EV,Electricity,Europe,Western Europe,BE,2023,153169
Electric,EV,Electricity,Europe,Western Europe,BE,2024,156975
Electric,EV,Electricity,Europe,Western Europe,BE,2025,148322
Electric,EV,Electricity,Europe,Western Europe,BE,2026,117929
Electric,EV,Electricity,Europe,Western Europe,BE,2027,50253
Electric,EV,Electricity,Europe,Western Europe,BE,2028,46812
Electric,EV,Electricity,Europe,Western Europe,BE,2029,77830
Electric,EV,Electricity,Europe,Western Europe,DE,2017,44545
Electric,EV,Electricity,Europe,Western Europe,DE,2018,56326
Electric,EV,Electricity,Europe,Western Europe,DE,2019,81168
Electric,EV,Electricity,Europe,Western Europe,DE,2020,175319
Electric,EV,Electricity,Europe,Western Europe,DE,2021,333559
Electric,EV,Electricity,Europe,Western Europe,DE,2022,584026
Electric,EV,Electricity,Europe,Western Europe,DE,2023,1202102
Electric,EV,Electricity,Europe,Western Europe,DE,2024,1794839
Electric,EV,Electricity,Europe,Western Europe,DE,2025,2119013
Electric,EV,Electricity,Europe,Western Europe,DE,2026,2237635
Electric,EV,Electricity,Europe,Western Europe,DE,2027,2683265
Electric,EV,Electricity,Europe,Western Europe,DE,2028,3246287
Electric,EV,Electricity,Europe,Western Europe,DE,2029,3615552
Electric,EV,Electricity,Europe,Western Europe,ES,2017,7571
Electric,EV,Electricity,Europe,Western Europe,ES,2018,12447
Electric,EV,Electricity,Europe,Western Europe,ES,2019,14926
Electric,EV,Electricity,Europe,Western Europe,ES,2020,56828
Electric,EV,Electricity,Europe,Western Europe,ES,2021,96596
Electric,EV,Electricity,Europe,Western Europe,ES,2022,124268
Electric,EV,Electricity,Europe,Western Europe,ES,2023,220888
Electric,EV,Electricity,Europe,Western Europe,ES,2024,325278
Electric,EV,Electricity,Europe,Western Europe,ES,2025,386661
Electric,EV,Electricity,Europe,Western Europe,ES,2026,583767
Electric,EV,Electricity,Europe,Western Europe,ES,2027,830626
Electric,EV,Electricity,Europe,Western Europe,ES,2028,1079822
Electric,EV,Electricity,Europe,Western Europe,ES,2029,1198921
Electric,EV,Electricity,Europe,Western Europe,FI,2017,0
Electric,EV,Electricity,Europe,Western Europe,FI,2018,0
Electric,EV,Electricity,Europe,Western Europe,FI,2019,0
Electric,EV,Electricity,Europe,Western Europe,FI,2020,0
Electric,EV,Electricity,Europe,Western Europe,FI,2021,0
Electric,EV,Electricity,Europe,Western Europe,FI,2022,0
Electric,EV,Electricity,Europe,Western Europe,FI,2023,0
Electric,EV,Electricity,Europe,Western Europe,FI,2024,2047
Electric,EV,Electricity,Europe,Western Europe,FI,2025,2582
Electric,EV,Electricity,Europe,Western Europe,FI,2026,3225
Electric,EV,Electricity,Europe,Western Europe,FI,2027,3637
Electric,EV,Electricity,Europe,Western Europe,FI,2028,4073
Electric,EV,Electricity,Europe,Western Europe,FI,2029,4427
Electric,EV,Electricity,Europe,Western Europe,FR,2017,44936
Electric,EV,Electricity,Europe,Western Europe,FR,2018,72139
Electric,EV,Electricity,Europe,Western Europe,FR,2019,96513
Electric,EV,Electricity,Europe,Western Europe,FR,2020,131266
Electric,EV,Electricity,Europe,Western Europe,FR,2021,161513
