powertrain_type,region,year,veh_cost,fuel_cost,insurance_euro,mr_euro,quartile,km,value,TCO,TCO_percent
ICE-G,western europe,2021,4140.891473397084,7.425000000000002,1608.0,1876.0,Q1,2500,35,3.1242065893588338,1.0934723062755918
ICE-G,western europe,2021,4140.891473397084,7.425000000000002,1608.0,1876.0,Q2,10000,35,0.8367391473397084,0.292858701568898
ICE-G,western europe,2021,4140.891473397084,7.425000000000002,1608.0,1876.0,Q3,20000,20,0.45549457366985424,0.09109891473397085
ICE-G,western europe,2021,4140.891473397084,7.425000000000002,1608.0,1876.0,Q4,40000,10,0.26487228683492714,0.026487228683492715
ICE-D,western europe,2021,4449.913225143136,5.588000000000001,1728.0,2016.0,Q1,2500,35,3.333445290057255,1.1667058515200392
ICE-D,western europe,2021,4449.913225143136,5.588000000000001,1728.0,2016.0,Q2,10000,35,0.8752713225143137,0.30634496288000984
ICE-D,western europe,2021,4449.913225143136,5.588000000000001,1728.0,2016.0,Q3,20000,20,0.4655756612571569,0.09311513225143138
ICE-D,western europe,2021,4449.913225143136,5.588000000000001,1728.0,2016.0,Q4,40000,10,0.2607278306285784,0.026072783062857843
CNG,western europe,2021,4712.9994526203645,5.04,1435.85,1723.02,Q1,2500,35,3.199147781048146,1.1197017233668511
CNG,western europe,2021,4712.9994526203645,5.04,1435.85,1723.02,Q2,10000,35,0.8375869452620366,0.2931554308417128
CNG,western europe,2021,4712.9994526203645,5.04,1435.85,1723.02,Q3,20000,20,0.4439934726310183,0.08879869452620365
CNG,western europe,2021,4712.9994526203645,5.04,1435.85,1723.02,Q4,40000,10,0.24719673631550915,0.024719673631550917
HEV,western europe,2021,4440.642572590754,6.75,1580.7,1293.3,Q1,2500,35,2.9933570290363014,1.0476749601627056
HEV,western europe,2021,4440.642572590754,6.75,1580.7,1293.3,Q2,10000,35,0.7989642572590754,0.2796374900406764
HEV,western europe,2021,4440.642572590754,6.75,1580.7,1293.3,Q3,20000,20,0.4332321286295377,0.08664642572590754
HEV,western europe,2021,4440.642572590754,6.75,1580.7,1293.3,Q4,40000,10,0.2503660643147688,0.02503660643147688
PHEV,western europe,2021,4876.363242552687,4.2,1578.0,1104.6,Q1,2500,35,3.0655852970210744,1.072954853957376
