region,year,powertrain_type,TCO_POWERTRAIN
western europe,2021,BEV,1.5033238671528621
western europe,2021,CNG,1.5263755223663185
western europe,2021,FCEV,2.0155314128490502
western europe,2021,HEV,1.4389954823607665
western europe,2021,ICE-D,1.5922387297143383
western europe,2021,ICE-G,1.5039171512619534
western europe,2021,PHEV,1.4593056079786288
western europe,2022,BEV,1.4845846100791809
western europe,2022,CNG,1.5268795223663185
western europe,2022,FCEV,1.9323526955464405
western europe,2022,HEV,1.4388305964703854
western europe,2022,ICE-D,1.5937611297143381
western europe,2022,ICE-G,1.5046596512619532
western europe,2022,PHEV,1.4567140644171048
western europe,2023,BEV,1.466621923288447
western europe,2023,CNG,1.5273885623663186
western europe,2023,FCEV,1.8551276444308693
western europe,2023,HEV,1.43870605601562
western europe,2023,ICE-D,1.5953253121143378
western europe,2023,ICE-G,1.5054095762619535
western europe,2023,PHEV,1.4542576825980418
western europe,2024,BEV,1.449405283969343
western europe,2024,CNG,1.5279026927663186
western europe,2024,FCEV,1.7834257800622917
western europe,2024,HEV,1.4386205846790445
western europe,2024,ICE-D,1.5969324299255383
western europe,2024,ICE-G,1.5061670005119534
western europe,2024,PHEV,1.451931551051741
western europe,2025,BEV,1.4329054010230027
western europe,2025,CNG,1.5284219644703185
western europe,2025,FCEV,1.716848203431634
western europe,2025,HEV,1.5076340636324823
western europe,2025,ICE-D,1.7749792295762044
western europe,2025,ICE-G,1.7381773406364487
western europe,2025,PHEV,1.5081117393113426
western europe,2026,BEV,1.4170941660105163
western europe,2026,CNG,1.5289464288913586
western europe,2026,FCEV,1.6550252630008782
western europe,2026,HEV,1.50769335791812
western europe,2026,ICE-D,1.7768454635507709
western europe,2026,ICE-G,1.7390272539616163
western europe,2026,PHEV,1.5060321858937722
western europe,2027,BEV,1.4019446060668488
western europe,2027,CNG,1.529476137956609
western europe,2027,FCEV,1.5976143949648884
western europe,2027,HEV,1.5077889128562028
western europe,2027,ICE-D,1.778762946194068
western europe,2027,ICE-G,1.7398856664200357
western europe,2027,PHEV,1.5040693465459192
western europe,2028,BEV,1.5361079337982837
western europe,2028,CNG,1.5300111441125122
western europe,2028,FCEV,1.54429812383287
western europe,2028,HEV,1.5079196643448725
western europe,2028,ICE-D,1.7807330923511682
western europe,2028,ICE-G,1.7407526630030388
western europe,2028,PHEV,1.6144898059275954
western europe,2029,BEV,1.5222051235139393
western europe,2029,CNG,1.530551500329974
western europe,2029,FCEV,1.4947822113904385
western europe,2029,HEV,1.5080845947095867
western europe,2029,ICE-D,1.7827573560804542
western europe,2029,ICE-G,1.7416283295518724
western europe,2029,PHEV,1.6127481542367228
western europe,2030,BEV,1.5088894401539947
western europe,2030,CNG,1.5310972601096104
western europe,2030,FCEV,1.4699153526626647
western europe,2030,HEV,1.508282730884659
western europe,2030,ICE-D,1.7848372317435433
western europe,2030,ICE-G,1.7425127527661943
western europe,2030,PHEV,1.6111113187827564
western europe,2031,BEV,1.4961380189317353
western europe,2031,CNG,1.5316484774870434
western europe,2031,FCEV,1.6172946376596415
western europe,2031,HEV,1.5085131426679248
western europe,2031,ICE-D,1.7869742551255685
western europe,2031,ICE-G,1.743406020212659
western europe,2031,PHEV,1.6095756651813324
western europe,2032,BEV,1.4839289220577192
western europe,2032,CNG,1.5322052070382506
western europe,2032,FCEV,1.6012725039487834
western europe,2032,HEV,1.5087749410456088
western europe,2032,ICE-D,1.7881429290520323
western europe,2032,ICE-G,1.7443082203335887
western europe,2032,PHEV,1.6081377141413824
western europe,2033,BEV,1.4722411019080033
western europe,2033,CNG,1.53276750388497
western europe,2033,FCEV,1.585755859703049
western europe,2033,HEV,1.509067276584591
western europe,2033,ICE-D,1.7893288140038173
western europe,2033,ICE-G,1.7452194424557277
western europe,2033,PHEV,1.6067941354412825
western europe,2034,BEV,1.4610543656706028
western europe,2034,CNG,1.5333354237001566
western europe,2034,FCEV,1.5707296014424632
western europe,2034,HEV,1.5093893378893843
western europe,2034,ICE-D,1.7905321679270847
western europe,2034,ICE-G,1.7461397767990878
western europe,2034,PHEV,1.6055417421494182
western europe,2035,BEV,1.450349341411152
western europe,2035,CNG,1.5339090227134948
western europe,2035,FCEV,1.5561791167659444
western europe,2035,HEV,1.5097403501212292
