index,year,fuel_price,fuel_consumption,extra_fuel_consumption,adblue_price,adblue_consumption,hydrogen_price,hydrogen_consumption,elec_price,elec_cons,fuel_cost,powertrain_type,region
1,2022,1.35,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.425000000000001,ICE-G,western europe
2,2023,1.3635000000000002,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.499250000000001,ICE-G,western europe
3,2024,1.3771350000000002,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.574242500000001,ICE-G,western europe
4,2025,1.3909063500000003,5.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.414983417500002,ICE-G,western europe
5,2026,1.4048154135000004,5.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499133251675001,ICE-G,western europe
6,2027,1.4188635676350003,5.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.584124584191752,ICE-G,western europe
7,2028,1.4330522033113504,5.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66996583003367,ICE-G,western europe
8,2029,1.447382725344464,5.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.756665488334006,ICE-G,western europe
9,2030,1.4618565525979086,5.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.844232143217347,ICE-G,western europe
1,2022,1.15,4.4,0.0,2.0,6.0,0.0,0.0,0.0,0.0,5.588000000000001,ICE-D,western europe
2,2023,1.1822,4.4,0.0,2.04,6.0,0.0,0.0,0.0,0.0,5.74024,ICE-D,western europe
3,2024,1.2153015999999999,4.4,0.0,2.0808,6.0,0.0,0.0,0.0,0.0,5.89665824,ICE-D,western europe
4,2025,1.2493300448,4.4,10.0,2.122416,6.0,0.0,0.0,0.0,0.0,6.663107023232001,ICE-D,western europe
5,2026,1.2843112860544,4.4,10.0,2.16486432,6.0,0.0,0.0,0.0,0.0,6.844743223031297,ICE-D,western europe
6,2027,1.3202720020639231,4.4,10.0,2.2081616064,6.0,0.0,0.0,0.0,0.0,7.031366620487949,ICE-D,western europe
7,2028,1.357239618121713,4.4,10.0,2.252324838528,6.0,0.0,0.0,0.0,0.0,7.223114884817623,ICE-D,western europe
8,2029,1.395242327429121,4.4,10.0,2.29737133529856,6.0,0.0,0.0,0.0,0.0,7.420129500527649,ICE-D,western europe
9,2030,1.4343091125971363,4.4,10.0,2.3433187620045315,6.0,0.0,0.0,0.0,0.0,7.622555873456257,ICE-D,western europe
1,2022,0.7,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,CNG,western europe
2,2023,0.707,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0904,CNG,western europe
3,2024,0.71407,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.141304,CNG,western europe
4,2025,0.7212107,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19271704,CNG,western europe
5,2026,0.728422807,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2446442104,CNG,western europe
6,2027,0.7357070350699999,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.297090652503999,CNG,western europe
7,2028,0.7430641054206999,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.350061559029039,CNG,western europe
8,2029,0.7504947464749069,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40356217461933,CNG,western europe
9,2030,0.7579996939396559,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.457597796365523,CNG,western europe
1,2022,1.35,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,HEV,western europe
2,2023,1.3635000000000002,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.817500000000001,HEV,western europe
3,2024,1.3771350000000002,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.885675000000001,HEV,western europe
4,2025,1.3909063500000003,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.649984925000002,HEV,western europe
5,2026,1.4048154135000004,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.726484774250002,HEV,western europe
6,2027,1.4188635676350003,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.803749621992502,HEV,western europe
7,2028,1.4330522033113504,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8817871182124275,HEV,western europe
8,2029,1.447382725344464,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.960604989394552,HEV,western europe
9,2030,1.4618565525979086,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.040211039288497,HEV,western europe
1,2022,1.35,2.0,0.0,0.0,0.0,0.0,0.0,0.15,10.0,4.2,PHEV,western europe
2,2023,1.3635000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.153,10.0,4.257000000000001,PHEV,western europe
3,2024,1.3771350000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.15606,10.0,4.314870000000001,PHEV,western europe
4,2025,1.3909063500000003,2.0,0.0,0.0,0.0,0.0,0.0,0.1591812,10.0,4.373624700000001,PHEV,western europe
5,2026,1.4048154135000004,2.0,0.0,0.0,0.0,0.0,0.0,0.162364824,10.0,4.433279067000001,PHEV,western europe
6,2027,1.4188635676350003,2.0,0.0,0.0,0.0,0.0,0.0,0.16561212047999999,10.0,4.4938483400700004,PHEV,western europe
7,2028,1.4330522033113504,2.0,0.0,0.0,0.0,0.0,0.0,0.1689243628896,10.0,4.555348035518701,PHEV,western europe
8,2029,1.447382725344464,2.0,0.0,0.0,0.0,0.0,0.0,0.172302850147392,10.0,4.617793952162848,PHEV,western europe
9,2030,1.4618565525979086,2.0,0.0,0.0,0.0,0.0,0.0,0.17574890715033983,10.0,4.681202176699216,PHEV,western europe
0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,15.0,2.25,BEV,western europe
1,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,15.0,2.295,BEV,western europe
2,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15606,15.0,2.3409,BEV,western europe
3,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1591812,15.0,2.387718,BEV,western europe
4,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162364824,15.0,2.43547236,BEV,western europe
5,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16561212047999999,15.0,2.4841818071999997,BEV,western europe
6,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689243628896,15.0,2.533865443344,BEV,western europe
