region,year,powertrain_type,sum_volume,sum_powertrain,ratio_volume
china,2018,BEV,0.882896,26.973253,0.032732277415705106
china,2018,FCEV,4.5e-05,26.973253,1.6683193532496805e-06
china,2018,HEV,0.268343,26.973253,0.009948484893535088
china,2018,HICEV,0.0,26.973253,0.0
china,2018,ICE-D,1.918304,26.973253,0.07111874863591722
china,2018,ICE-G,23.618319,26.973253,0.8756199706427698
china,2018,PHEV,0.285346,26.973253,0.010578850092719628
china,2019,BEV,0.978511,24.594935,0.0397850614364299
china,2019,FCEV,0.000137,24.594935,5.570252574361347e-06
china,2019,HEV,0.610474,24.594935,0.024821126788909992
china,2019,HICEV,0.0,24.594935,0.0
china,2019,ICE-D,1.916695,24.594935,0.07793047633587973
china,2019,ICE-G,20.866144,24.594935,0.8483919148393765
china,2019,PHEV,0.222974,24.594935,0.009065850346829541
china,2020,BEV,1.088084,23.522658999999997,0.04625684536769419
china,2020,FCEV,0.000291,23.522658999999997,1.2371050398681546e-05
china,2020,HEV,1.264999,23.522658999999997,0.0537778913514837
china,2020,HICEV,0.0,23.522658999999997,0.0
china,2020,ICE-D,2.121161,23.522658999999997,0.0901752221124321
china,2020,ICE-G,18.828152,23.522658999999997,0.8004261763094045
china,2020,PHEV,0.219972,23.522658999999997,0.009351493808586861
china,2021,BEV,2.96473,24.855173999999998,0.1192801949404981
china,2021,FCEV,0.000304,24.855173999999998,1.2230853825444957e-05
china,2021,HEV,1.657829,24.855173999999998,0.06669955317955127
china,2021,HICEV,0.0,24.855173999999998,0.0
china,2021,ICE-D,2.047389,24.855173999999998,0.08237274862771027
china,2021,ICE-G,17.685775,24.855173999999998,0.711553055311542
china,2021,PHEV,0.499147,24.855173999999998,0.02008221708687294
china,2022,BEV,5.728376,26.416936,0.21684483014987052
china,2022,FCEV,0.001272,26.416936,4.815092863154152e-05
china,2022,HEV,2.164234,26.416936,0.08192600383329846
china,2022,HICEV,0.0,26.416936,0.0
china,2022,ICE-D,1.446892,26.416936,0.05477137848234936
china,2022,ICE-G,15.736068,26.416936,0.5956810434033681
china,2022,PHEV,1.340094,26.416936,0.05072859320248192
china,2023,BEV,7.122369,26.821131,0.2655506585460546
china,2023,FCEV,0.003386,26.821131,0.0001262437441582907
china,2023,HEV,2.952714,26.821131,0.11008909355835889
china,2023,HICEV,0.0,26.821131,0.0
china,2023,ICE-D,1.576127,26.821131,0.05876437499969707
china,2023,ICE-G,13.153975,26.821131,0.4904332706924253
china,2023,PHEV,2.01256,26.821131,0.07503635845930584
china,2024,BEV,9.234966,28.347718,0.3257745826313074
china,2024,FCEV,0.006172,28.347718,0.00021772475653948585
china,2024,HEV,3.881205,28.347718,0.13691419535075097
china,2024,HICEV,0.0,28.347718,0.0
china,2024,ICE-D,1.734162,28.347718,0.06117465963221449
china,2024,ICE-G,11.037354,28.347718,0.38935599683896954
china,2024,PHEV,2.453859,28.347718,0.0865628407902181
china,2025,BEV,11.322646,29.713786,0.381056994891193
china,2025,FCEV,0.008477,29.713786,0.000285288451629826
china,2025,HEV,4.879874,29.713786,0.16422929074066833
china,2025,HICEV,0.0,29.713786,0.0
china,2025,ICE-D,1.782183,29.713786,0.059978321173882056
china,2025,ICE-G,8.958145,29.713786,0.3014811037543314
china,2025,PHEV,2.762461,29.713786,0.09296900098829547
china,2026,BEV,13.355847,30.852406,0.43289482836443943
china,2026,FCEV,0.012562,30.852406,0.0004071643553504385
china,2026,HEV,5.760965,30.852406,0.18672660407749075
