powertrain,propulsion_system_design
ICE D,ICE (DIESEL)
ICE D,ICE: Stop/Start (DIESEL)
ICE D,ICE (DIESEL-CNG)
ICE G,ICE (GAS) 
ICE G,ICE (GAS-CNG)
ICE G,ICE (GAS-E100) 
ICE G,ICE (GAS-E85)
ICE G,ICE (GAS-LPG)
CNG,ICE (CNG)
CNG,ICE: Stop/Start (CNG)
ICE LPG,ICE (LPG)
ICE LPG,ICE: Stop/Start (LPG)
HICEV,HICEV
HEV,HEV-FULL (DIESEL)
HEV,HEV-FULL (GAS)
HEV,HEV-FULL (GAS-E100)
HEV,HEV-FULL (GAS-E85)
HEV,HEV-FULL (GAS-M100)
HEV,HEV-FULL (LPG)
HEV,HEV-MILD (DIESEL)
HEV,HEV-MILD (GAS)
HEV,HEV-MILD (GAS-CNG)
HEV,HEV-MILD (GAS-E100)
HEV,HEV-MILD (GAS-E85)
HEV,HEV-MILD (GAS-LPG)
PHEV,PHEV-FULL (DIESEL)
PHEV,PHEV-FULL (GAS)
PHEV,PHEV-FULL (GAS-E100)
BEV,EV
REEV,REEV
FCEV,FCEV
